HireDate,count_of_hires,multiple_hires,uniqueid,lastname,middleinitial,firstname,gender,job title,department,Right_HireDate,terminationdate,annualsalary,FileName,Input_File_Name,Output_File_Name
2021-12-01,1,False,43,Collins,L,Kevin,M,Data Entry Clerk,Administration,2021-12-01,,38000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data25.csv,output_data25.csv,questions_data25
2020-01-25,1,False,34,Carter,C,Olivia,F,Content Strategist,Marketing,2020-01-25,,53000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data25.csv,output_data25.csv,questions_data25
2021-04-30,1,False,83,King,Z,Jacob,M,Cloud Engineer,IT,2021-04-30,,95000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data25.csv,output_data25.csv,questions_data25
2020-11-01,1,False,85,Scott,B,Leo,M,Operations Specialist,Operations,2020-11-01,,59000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data25.csv,output_data25.csv,questions_data25
2021-03-18,1,False,69,Garcia,L,Zoe,F,Technical Trainer,IT,2021-03-18,,68000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data25.csv,output_data25.csv,questions_data25
2020-10-05,1,False,41,Evans,J,Samuel,M,IT Manager,IT,2020-10-05,,105000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data25.csv,output_data25.csv,questions_data25
2020-05-20,1,False,9,Anderson,D,Matthew,M,Customer Support,Support,2020-05-20,,42000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data25.csv,output_data25.csv,questions_data25
2021-04-20,1,False,27,Wright,V,Jason,M,Operations Coordinator,Operations,2021-04-20,,62000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data25.csv,output_data25.csv,questions_data25
2022-04-25,1,False,5,Miller,R,David,M,Marketing Coordinator,Marketing,2022-04-25,,55000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data25.csv,output_data25.csv,questions_data25
2021-05-01,1,False,63,Thomas,F,Natalie,F,Operations Supervisor,Operations,2021-05-01,,80000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data25.csv,output_data25.csv,questions_data25
2020-12-15,1,False,97,Lopez,N,Noah,M,Creative Director,Marketing,2020-12-15,,130000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data25.csv,output_data25.csv,questions_data25
2020-08-10,1,False,68,Thompson,K,Oliver,M,Social Media Analyst,Marketing,2020-08-10,,52000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data25.csv,output_data25.csv,questions_data25
2019-02-10,1,False,19,Clark,N,Brian,M,Supply Chain Analyst,Operations,2019-02-10,,70000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data25.csv,output_data25.csv,questions_data25
