HireDate,count_of_hires,multiple_hires,UniqueID,LastName,MiddleInitial,FirstName,Gender,JobTitle,Department,Right_HireDate,TerminationDate,AnnualSalary,FileName,Input_File_Name,Output_File_Name
15/07/2020,1,False,6,Almeida,C,Fernanda,Female,Sales Representative,Sales,15/07/2020,,43000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data28.csv,output_data28.csv,questions_data28
01/09/2018,1,False,3,Pereira,L,Carlos,Male,Marketing Coordinator,Marketing,01/09/2018,,50000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data28.csv,output_data28.csv,questions_data28
25/06/2020,1,False,9,Barbosa,E,Julio,Male,IT Support Technician,IT,25/06/2020,,40000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data28.csv,output_data28.csv,questions_data28
30/04/2021,1,False,7,Nascimento,J,Thiago,Male,Finance Analyst,Finance,30/04/2021,,52000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data28.csv,output_data28.csv,questions_data28
05/03/2019,1,False,5,Ribeiro,T,Pedro,Male,Warehouse Supervisor,Logistics,05/03/2019,,48000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data28.csv,output_data28.csv,questions_data28
12/01/2014,1,False,8,Costa,D,Lais,Female,Human Resources Manager,HR,12/01/2014,,62000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data28.csv,output_data28.csv,questions_data28
15/02/2015,1,False,1,Souza,A,Lucas,Male,Production Manager,Operations,15/02/2015,,60000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data28.csv,output_data28.csv,questions_data28
20/11/2016,1,False,4,Gomes,M,Ana,Female,Research Scientist,R&D,20/11/2016,,55000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data28.csv,output_data28.csv,questions_data28
10/12/2018,1,False,10,Machado,F,Beatriz,Female,Product Development Lead,R&D,10/12/2018,,58000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data28.csv,output_data28.csv,questions_data28
10/05/2017,1,False,2,Silva,R,Maria,Female,Quality Control Specialist,Quality Assurance,10/05/2017,,45000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data28.csv,output_data28.csv,questions_data28
