HireDate,count_of_hires,multiple_hires,generate a comma separated text file for 110 employees with the following data: UniqueID,LastName,MiddleInitial,FIrstName,Gender,JobTitle,Department,Right_HireDate,TerminationDate,AnnualSalary,FileName,Input_File_Name,Output_File_Name
2021-12-30,1,False,109,Bennett,N,Nina,Female,Customer Service Manager,Sales,2021-12-30,,65000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2022-01-30,2,True,33,Campbell,P,Peter,Male,HR Generalist,HR,2022-01-30,,60000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2022-01-30,2,True,86,Anderson,Q,Quinn,Female,Program Analyst,Finance,2022-01-30,,70000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2021-02-15,1,False,62,Adams,S,Samuel,Male,Financial Analyst,Finance,2021-02-15,,80000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2022-04-09,1,False,27,Wright,J,Jasmine,Female,Social Media Manager,Marketing,2022-04-09,,60000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2018-02-01,1,False,31,Baker,N,Noah,Male,Senior Developer,IT,2018-02-01,,85000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2022-07-14,1,False,77,Wood,H,Hannah,Female,SEO Manager,Marketing,2022-07-14,,80000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2023-07-15,1,False,68,Roberts,Y,Yvonne,Female,Sales Analyst,Sales,2023-07-15,,70000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2021-04-18,1,False,17,Taylor,Z,Zoe,Female,Recruiter,HR,2021-04-18,,50000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
,3,True,,,,,,,,,,,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
,3,True,,,,,,,,,,,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
,3,True,,,,,,,,,,,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2021-05-10,1,False,4,Brown,M,Mary,Female,HR Specialist,HR,2021-05-10,,55000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2018-12-15,1,False,12,Lopez,U,Uma,Female,Product Manager,IT,2018-12-15,,85000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2020-01-05,1,False,40,Clark,W,Will,Male,Technical Writer,IT,2020-01-05,,65000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2020-01-10,1,False,58,Jackson,O,Oscar,Male,Operations Analyst,Operations,2020-01-10,,70000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2019-08-01,1,False,72,Ng,C,Chloe,Female,Data Analyst,Finance,2019-08-01,,60000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2020-05-20,1,False,24,Young,G,George,Male,Marketing Coordinator,Marketing,2020-05-20,,55000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2022-08-30,1,False,81,Gray,L,Luke,Male,Software Tester,IT,2022-08-30,,60000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2021-06-25,1,False,85,Clark,P,Paige,Female,Content Creator,Marketing,2021-06-25,,65000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2022-08-29,1,False,44,Green,A,Alice,Female,Account Executive,Sales,2022-08-29,,80000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2022-05-22,1,False,16,Thomas,Y,Yara,Female,SEO Specialist,Marketing,2022-05-22,,60000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
2023-05-05,1,False,60,Lee,Q,Quincy,Male,Senior Data Engineer,IT,2023-05-05,,90000,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data30.csv,output_data30.csv,questions_data30
