HireDate,count_of_hires,multiple_hires,UniqueID,LastName,MiddleInitial,FirstName,Gender,Job Title,Department,Right_HireDate,TerminationDate,AnnualSalary,FileName,Input_File_Name,Output_File_Name
04/06/2001,1,False,40,Owen,NA,Richard,other,Dispensing optician,Player,04/06/2001,,199039,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data8.csv,output_data8.csv,questions_data8
04/08/2014,1,False,32,Roy,NA,Karen,other,"Scientist, research (maths)",Seven,04/08/2014,,124357,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data8.csv,output_data8.csv,questions_data8
21/01/2001,1,False,34,Wilson,Y,Courtney,male,"Engineer, manufacturing systems",Language,21/01/2001,,54961,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data8.csv,output_data8.csv,questions_data8
15/08/1964,1,False,12,Alexander,Z,James,female,Magazine journalist,Lead,15/08/1964,,112637,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data8.csv,output_data8.csv,questions_data8
04/09/2019,1,False,24,Livingston,NA,Matthew,other,Futures trader,Water,04/09/2019,,166250,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data8.csv,output_data8.csv,questions_data8
28/11/1955,1,False,1,Olson,A,Jamie,other,Regulatory affairs officer,Than,28/11/1955,12/04/2014,58169,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data8.csv,output_data8.csv,questions_data8
02/01/2006,1,False,30,Gillespie,M,Valerie,male,"Education officer, environmental",Base,02/01/2006,,239952,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data8.csv,output_data8.csv,questions_data8
18/10/1955,1,False,10,Crawford,M,Diane,male,"Social research officer, government",Window,18/10/1955,,83894,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data8.csv,output_data8.csv,questions_data8
01/06/1957,1,False,16,Rivera,U,John,other,Garment/textile technologist,Line,01/06/1957,,123769,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data8.csv,output_data8.csv,questions_data8
10/01/1985,1,False,28,Higgins,F,Brandon,female,Statistician,Speak,10/01/1985,,179371,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data8.csv,output_data8.csv,questions_data8
07/03/1989,1,False,39,Bullock,E,Brenda,other,Charity officer,Road,07/03/1989,08/01/2022,163461,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data8.csv,output_data8.csv,questions_data8
10/09/1992,1,False,7,Herrera,X,Rachael,male,Interior and spatial designer,Reflect,10/09/1992,,102304,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data8.csv,output_data8.csv,questions_data8
28/06/2017,1,False,23,NA,I,Stephen,other,Press photographer,Stage,28/06/2017,,211522,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data8.csv,output_data8.csv,questions_data8
27/01/1990,1,False,4,Serrano,Q,Stephen,female,Immunologist,Recently,27/01/1990,,172569,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data8.csv,output_data8.csv,questions_data8
19/12/1977,1,False,31,Simmons,G,Gabrielle,female,Insurance account manager,Very,19/12/1977,,226865,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data8.csv,output_data8.csv,questions_data8
28/08/1953,1,False,45,Long,V,Melanie,male,"Teacher, special educational needs",Cut,28/08/1953,,119861,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data8.csv,output_data8.csv,questions_data8
03/11/2013,1,False,25,Murphy,H,Regina,other,"Designer, exhibition/display",Sister,03/11/2013,15/01/2021,191780,C:\Users\abcurtis\OneDrive - UW\__Teaching__\GitHubConnections\ACCTG521_Labs\Class17_GenAITests\prompt1\output_data8.csv,output_data8.csv,questions_data8
